issue_id,issue_desc,resolution,assignee,document_it,breached
71-812-8022,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Sunny Medina,ultrices libero,true
95-808-8568,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",Kip Koop,vitae nisl aenean lectus,false
91-059-2179,Praesent id massa id nisl venenatis lacinia.,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Fabian Heardman,neque sapien placerat,false
20-390-8018,Aliquam erat volutpat.,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Flynn Henken,nulla ultrices aliquet,false
23-875-2276,Cras in purus eu magna vulputate luctus.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Jean Lashmar,aliquet pulvinar sed,true
28-035-9710,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Dal Klich,amet sapien dignissim,true
42-617-0648,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Kalil Huckfield,nisi vulputate,true
51-429-6467,Aenean auctor gravida sem.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Clarinda Pettinger,vel augue vestibulum,false
78-000-0177,Morbi non quam nec dui luctus rutrum.,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Reube Slot,erat vestibulum sed,true
19-403-4440,Sed sagittis.,Suspendisse potenti.,Yoko Ivanikhin,massa tempor,false
88-430-7745,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Isaak Ellit,accumsan odio,true
96-150-0086,Maecenas ut massa quis augue luctus tincidunt.,Integer a nibh. In quis justo.,Maurise Lorryman,nulla facilisi cras,true
94-737-4183,Morbi vel lectus in quam fringilla rhoncus.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Quincey Harfoot,ultricies eu nibh,true
62-222-1105,Nunc rhoncus dui vel sem.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Amil Teaser,luctus et ultrices,true
06-580-0647,Fusce consequat.,Integer a nibh. In quis justo.,Gordie Baynes,est lacinia nisi,false
82-876-0829,Fusce posuere felis sed lacus.,Aliquam sit amet diam in magna bibendum imperdiet.,Gardiner Orford,sapien arcu sed augue,true
04-056-3655,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Godard Clemes,quam pede lobortis,true
45-511-4430,Vivamus in felis eu sapien cursus vestibulum.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Corenda Aitkenhead,justo eu massa,true
96-226-3784,Nulla ac enim.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Shurwood Wellard,dapibus nulla suscipit,true
99-492-1162,Nulla nisl.,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Moore Portsmouth,quis tortor id nulla,true
98-354-0329,Aliquam non mauris.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",Maxine De Vaan,nulla elit ac nulla,true
88-936-8394,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Faustine Langmaid,vulputate ut ultrices,true
46-370-4120,Curabitur in libero ut massa volutpat convallis.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Colet Rubartelli,magna vulputate luctus,true
74-916-1909,Integer ac neque.,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Rodger Dingate,ut suscipit a,true
77-496-7966,Etiam vel augue.,Nullam varius.,Sara-ann Croisdall,justo eu massa donec,true
17-718-8432,Aenean lectus.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Rhoda Bagott,ut mauris,true
46-750-3853,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Dale Mollitt,orci luctus et,true
19-036-8074,Vestibulum sed magna at nunc commodo placerat.,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Matt Toxell,volutpat dui maecenas tristique,true
28-528-0345,Aliquam non mauris.,Nulla tellus.,Noellyn Penlington,in ante vestibulum ante,false
31-917-1949,In hac habitasse platea dictumst.,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",Kermie Danslow,fusce consequat nulla nisl,false
29-577-1132,Mauris sit amet eros.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Bobbi Newark,quam nec,false
81-117-1269,Aenean sit amet justo.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Nita Dury,quis odio consequat,true
93-700-3633,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Christye Haycox,penatibus et magnis dis,true
93-737-6410,Vivamus vel nulla eget eros elementum pellentesque.,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Emalia Acome,mauris sit amet,false
82-126-7404,Nam dui.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Karola Szymon,aliquam quis turpis,false
82-607-1033,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,Port Lovemore,elit proin risus,true
65-947-3751,Suspendisse potenti.,Nulla justo.,Kat Warboys,pretium iaculis diam,true
56-534-2793,Nullam molestie nibh in lectus.,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Josepha Bretelle,in faucibus orci luctus,true
75-257-5858,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Gar Wagge,imperdiet nullam orci pede,false
83-215-9015,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Allyce Blackden,maecenas leo,true
16-275-7884,Proin interdum mauris non ligula pellentesque ultrices.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",Elayne Emptage,aliquam convallis,true
54-284-0375,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Thorpe Walne,consequat dui nec nisi,true
63-251-9585,Donec semper sapien a libero.,Donec posuere metus vitae ipsum. Aliquam non mauris.,Katherina Goves,phasellus id sapien,false
37-425-4031,Fusce posuere felis sed lacus.,Phasellus in felis. Donec semper sapien a libero.,Clary McOwan,ante vel ipsum praesent,true
27-301-1275,Nullam sit amet turpis elementum ligula vehicula consequat.,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Claiborne Kenan,at feugiat,false
88-253-8583,Donec semper sapien a libero.,In blandit ultrices enim.,Godfree Ringrose,cursus vestibulum proin eu,true
43-587-3736,Nulla suscipit ligula in lacus.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Jeremy Noot,arcu libero rutrum,true
00-628-8924,"In est risus, auctor sed, tristique in, tempus sit amet, sem.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Barret Biever,cum sociis,false
34-852-3061,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",Ginger Melato,duis mattis egestas metus,true
83-163-9346,Aenean auctor gravida sem.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Minne Marlowe,aliquam lacus morbi,true
41-386-7268,Vivamus tortor.,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Desi Arthars,id luctus nec molestie,true
04-932-9575,Etiam vel augue.,Donec posuere metus vitae ipsum.,Nickolas Sollowaye,accumsan odio,true
07-969-5715,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",Olympia Salle,morbi non quam,true
52-184-5270,Suspendisse potenti.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Hannie Lane,ut erat curabitur gravida,true
10-803-2094,Aenean fermentum.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Ricky Moret,lorem ipsum,false
86-747-2979,Morbi ut odio.,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Carlee Betty,odio condimentum,false
62-734-7709,Donec semper sapien a libero.,Nulla facilisi.,Jennine Hessenthaler,vulputate nonummy maecenas tincidunt,true
05-267-0511,Nam tristique tortor eu pede.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Nadean Lissaman,risus dapibus,true
85-585-1302,In hac habitasse platea dictumst.,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Lauren Karby,pellentesque ultrices mattis odio,true
22-777-2590,Etiam pretium iaculis justo.,Pellentesque eget nunc.,Kasey Astlatt,in consequat ut nulla,false
26-403-7965,Nam dui.,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Nadia Elwel,natoque penatibus,true
09-036-0713,Fusce posuere felis sed lacus.,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Chalmers Liley,nulla mollis molestie lorem,false
42-526-9231,Pellentesque viverra pede ac diam.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Zorine Critzen,ligula in,false
43-846-5442,Cras in purus eu magna vulputate luctus.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Alasdair Poynzer,at velit vivamus vel,true
26-336-4964,In hac habitasse platea dictumst.,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Maighdiln McCathie,felis sed lacus morbi,true
04-380-8491,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Timmi Stillwell,vel enim sit amet,false
98-217-9601,Donec quis orci eget orci vehicula condimentum.,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Selig Leversuch,nulla pede,true
52-035-0390,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,Putnam Balderson,rutrum ac lobortis vel,false
28-444-8840,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Sela Trevor,nec euismod scelerisque,false
51-509-2425,In hac habitasse platea dictumst.,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Ophelia Snook,pellentesque ultrices mattis,false
75-392-1202,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Willard Gudgion,at velit,false
45-384-3469,Curabitur convallis.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Veda McGraffin,velit id,false
35-393-8238,Morbi non quam nec dui luctus rutrum.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Reagan Josefowicz,rhoncus sed vestibulum,false
81-186-0664,Nam nulla.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Kynthia McDiarmid,justo etiam pretium,true
19-088-5075,Duis mattis egestas metus.,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Hy Falshaw,nulla tempus vivamus in,true
86-836-8414,In hac habitasse platea dictumst.,Pellentesque ultrices mattis odio. Donec vitae nisi.,Deina Janisson,in tempor turpis,true
61-016-9806,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Bud Edkins,interdum mauris non,false
90-537-7405,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Aliquam quis turpis eget elit sodales scelerisque.,Maynord Shewen,morbi sem mauris laoreet,true
53-934-5272,Integer ac neque.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Dani Frangleton,posuere metus vitae ipsum,false
91-600-2869,Aliquam erat volutpat.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Rocky Ormrod,curae mauris viverra,true
24-466-5378,Proin risus.,Proin eu mi.,Carlynn Mileham,ut dolor morbi,true
99-277-7345,Aliquam sit amet diam in magna bibendum imperdiet.,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Wadsworth Kirsz,morbi vel,true
45-588-5420,Phasellus in felis.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Riordan Donan,primis in,true
